"original_name";"current_name_hu";"current_name";"full_name";"latitude";"longitude"
"Ostffyasszonyfa";;;"Ostffyasszonyfa";"47.3285365";"17.0432368"
"Pápa";;;"Pápa";"47.3261087";"17.4705293"
"Pécel";;;"Pécel";"47.4908971";"19.337941"
"Pest";"Budapest";;"Budapest";"47.496413";"19.119194"
"Pozsony";;"Bratislava, SK";"Bratislava, SK";"48.1485965";"17.1077477"
"Puszta-Palota";;;"Várpalota";"47.2005642";"18.1614063"
"Rákos";"Budapest";;"Budapest";"47.476032";"19.245732"
"Selmec";"Selmecbánya";"Banská Štiavnica, SK";"Banská Štiavnica, SK";"48.4580926";"18.8988414"
"Sopron";;;"Sopron";"47.6816619";"16.5844795"
"Szalkszentmárton";;;"Szalkszentmárton";"46.9754928";"19.0171018"
"Szalonta";"Nagyszalonta";"Salonta, RO";"Salonta, RO";"46.8052877";"21.6489829"
"Szászsebes";;"Sebeș, RO";"Sebeș, RO";"45.9595588";"23.5663758"
"Szatmár";"Szatmárnémeti";"Satu Mare, RO";"Satu Mare, RO";"47.8016702";"22.8575926"
"Székelyhíd";;"Săcueni, RO";"Săcueni, RO";"47.3519177";"22.0928322"
"Székesfehérvár";;;"Székesfehérvár";"47.1860262";"18.4221358"
"Széphalom";"Sátoraljaújhely";;"Sátoraljaújhely";"48.3960601";"21.6551122"
"Szerencs";;;"Szerencs";"48.1590429";"21.2048872"
"Tokaj";;;"Tokaj";"48.1172148";"21.4089015"
"Torda";;"Turda, RO";"Turda, RO";"46.564676";"23.7971063"
"Vác";;;"Vác";"47.7782873";"19.1278294"
"Vadas";;;"Szalkszentmárton";"46.9755241";"19.0132851"
"Vajdahunyad";;"Hunedoara, RO";"Hunedoara, RO";"45.7678128";"22.9072331"
"Veszprém";;;"Veszprém";"47.1028087";"17.9093019"
"Zugliget";"Budapest";;"Budapest";"47.518842";"18.972993"
